,author,url,date,rating,review,year,review_length,scores,compound_scores,labels
18,Horst_In_Translation,https://www.imdb.com/review/rw6151117/?ref_=tt_urv,2020-10-05,4.0,"I did not like it a lot, Nolan seems to be on a downward spiral for me now",2020,74,"{'neg': 0.131, 'neu': 0.869, 'pos': 0.0, 'compound': -0.2755}",-0.2755,negative
19,evasin,https://www.imdb.com/review/rw6427348/?ref_=tt_urv,2020-12-31,7.0,Perhaps Tenet is the weakest film in Nolan's career,2020,51,"{'neg': 0.292, 'neu': 0.708, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
20,gcsman,https://www.imdb.com/review/rw6072774/?ref_=tt_urv,2020-09-07,8.0,Christopher Nolan does James Bond -- with time travel!,2020,54,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
21,elgrampo,https://www.imdb.com/review/rw6436722/?ref_=tt_urv,2021-01-02,1.0,Waste of time and money,2021,23,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
22,ahmedgorshy,https://www.imdb.com/review/rw6060973/?ref_=tt_urv,2020-09-04,8.0,An unexpected work from Christopher Nolan,2020,41,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
23,oreniaplen,https://www.imdb.com/review/rw6030300/?ref_=tt_urv,2020-08-27,6.0,"As a massive Nolan fan, this film is almost perplexing to the point where it's just plain ridiculous plotting.",2020,110,"{'neg': 0.12, 'neu': 0.769, 'pos': 0.111, 'compound': -0.0516}",-0.0516,negative
24,Top_Dawg_Critic,https://www.imdb.com/review/rw6354943/?ref_=tt_urv,2020-12-11,6.0,Nolan's worst film to date,2020,26,"{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}",-0.6249,negative
25,ramo,https://www.imdb.com/review/rw6031491/?ref_=tt_urv,2020-08-27,7.0,Good movie but too complicated for a casual viewing,2020,51,"{'neg': 0.0, 'neu': 0.591, 'pos': 0.409, 'compound': 0.4854}",0.4854,positive
26,allie,https://www.imdb.com/review/rw7925742/?ref_=tt_urv,2022-03-06,5.0,Would have been better without the time travel,2022,46,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}",0.4404,positive
27,spencermcook,https://www.imdb.com/review/rw6097208/?ref_=tt_urv,2020-09-15,9.0,Built For Long Term Curiosity,2020,29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
28,vengeance,https://www.imdb.com/review/rw6036952/?ref_=tt_urv,2020-08-28,1.0,Mass Confusion 101,2020,18,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
29,elshikh,https://www.imdb.com/review/rw6088631/?ref_=tt_urv,2020-09-12,1.0,When Style is The Tenet !,2020,25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
30,tandc,https://www.imdb.com/review/rw6850607/?ref_=tt_urv,2021-04-25,1.0,Excessive Pretentious Confusing Mess.,2021,37,"{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
31,imseeg,https://www.imdb.com/review/rw6337762/?ref_=tt_urv,2020-12-05,5.0,Start walking backwards. You think that is cool? I dont. I think it is silly.,2020,77,"{'neg': 0.0, 'neu': 0.764, 'pos': 0.236, 'compound': 0.34}",0.34,positive
32,harybobjoebob,https://www.imdb.com/review/rw6162431/?ref_=tt_urv,2020-10-10,7.0,You'll probably need to watch it twice,2020,38,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
33,Fella_shibby,https://www.imdb.com/review/rw6331382/?ref_=tt_urv,2020-12-02,4.0,This aint no entertaining movie. Nolan shud stop his obsession with so called intelligent films n try making simpler films.,2020,123,"{'neg': 0.268, 'neu': 0.535, 'pos': 0.197, 'compound': -0.2119}",-0.2119,negative
34,kuuk,https://www.imdb.com/review/rw6030590/?ref_=tt_urv,2020-08-27,1.0,Bad in every possible way. But sound mixing is awful.,2020,53,"{'neg': 0.439, 'neu': 0.561, 'pos': 0.0, 'compound': -0.7391}",-0.7391,negative
35,Bertaut,https://www.imdb.com/review/rw6407888/?ref_=tt_urv,2020-12-27,2.0,"An aesthetic showcase that's completely uninterested in human beings (and for the love of God, what does Christopher Nolan have against decent sound mixing?)",2020,157,"{'neg': 0.0, 'neu': 0.777, 'pos': 0.223, 'compound': 0.743}",0.743,positive
36,rip_,https://www.imdb.com/review/rw6017575/?ref_=tt_urv,2020-08-22,9.0,"Brief, Non-Spoiler review",2020,25,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
37,micahlhaddad,https://www.imdb.com/review/rw6086983/?ref_=tt_urv,2020-09-12,8.0,This movie rewards you for seeing it again.,2020,43,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.4767}",0.4767,positive
38,mateo,https://www.imdb.com/review/rw6033831/?ref_=tt_urv,2020-08-28,9.0,Confusing as hell but feels all right,2020,37,"{'neg': 0.459, 'neu': 0.541, 'pos': 0.0, 'compound': -0.5023}",-0.5023,negative
39,BitingMovieJunkie,https://www.imdb.com/review/rw6031028/?ref_=tt_urv,2020-08-27,6.0,Tenet is neither mind-bending nor brilliant. But it'll keep you entertained,2020,75,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.6504}",0.6504,positive
40,briancham,https://www.imdb.com/review/rw6087472/?ref_=tt_urv,2020-09-12,6.0,The audience is now deaf,2020,24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
41,MadamWarden,https://www.imdb.com/review/rw6309653/?ref_=tt_urv,2020-11-25,1.0,MISSIT. BINIT. CHUCKIT.,2020,23,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
42,evan_harvey,https://www.imdb.com/review/rw6017565/?ref_=tt_urv,2020-08-22,6.0,"Loud, choppy, obscure and not as great as you want it to be",2020,59,"{'neg': 0.211, 'neu': 0.705, 'pos': 0.083, 'compound': -0.4577}",-0.4577,negative
43,KKortez,https://www.imdb.com/review/rw6098962/?ref_=tt_urv,2020-09-16,8.0,An Experimental Thriller Disguised As A Blockbuster,2020,51,"{'neg': 0.202, 'neu': 0.288, 'pos': 0.51, 'compound': 0.4939}",0.4939,positive
44,barrys,https://www.imdb.com/review/rw6409634/?ref_=tt_urv,2020-12-27,1.0,Watch At Your Own Peril,2020,23,"{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}",-0.4019,negative
45,westsideschl,https://www.imdb.com/review/rw6458988/?ref_=tt_urv,2021-01-09,4.0,KISS,2021,4,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}",0.4215,positive
46,damianphelps,https://www.imdb.com/review/rw8283953/?ref_=tt_urv,2022-06-28,4.0,Its A Supermodel,2022,16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
47,kwenchow,https://www.imdb.com/review/rw6329051/?ref_=tt_urv,2020-12-02,1.0,"A big letdown from Christopher Nolan! Full of boring conversation, and frustrated action scene! Should have done better!",2020,120,"{'neg': 0.28, 'neu': 0.596, 'pos': 0.124, 'compound': -0.5684}",-0.5684,negative
48,TheAnimalMother,https://www.imdb.com/review/rw6158921/?ref_=tt_urv,2020-10-09,3.0,LMAO What A Joke! The DUMBEST action film EVER!!,2020,48,"{'neg': 0.241, 'neu': 0.299, 'pos': 0.46, 'compound': 0.5684}",0.5684,positive
49,AnAverageNerd,https://www.imdb.com/review/rw6102611/?ref_=tt_urv,2020-09-17,7.0,Give it a chance,2020,16,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.25}",0.25,positive
50,Carolyn_Channing,https://www.imdb.com/review/rw6033726/?ref_=tt_urv,2020-08-28,1.0,The Emperor Has No Clothes,2020,26,"{'neg': 0.355, 'neu': 0.645, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
51,shawthingproductions,https://www.imdb.com/review/rw6028680/?ref_=tt_urv,2020-08-26,2.0,Big Nolan fan but this is a no from me.,2020,39,"{'neg': 0.245, 'neu': 0.611, 'pos': 0.144, 'compound': -0.2846}",-0.2846,negative
52,timoth,https://www.imdb.com/review/rw6019116/?ref_=tt_urv,2020-08-23,1.0,A Shallow Ego-Trip From A Once-Great Director,2020,45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
53,Sleepin_Dragon,https://www.imdb.com/review/rw6088135/?ref_=tt_urv,2020-09-12,8.0,"Excellent, even if I didn't fully get it.",2020,41,"{'neg': 0.0, 'neu': 0.619, 'pos': 0.381, 'compound': 0.5719}",0.5719,positive
54,SeethingSage,https://www.imdb.com/review/rw6976147/?ref_=tt_urv,2021-05-29,1.0,Horrible sound,2021,14,"{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}",-0.5423,negative
55,diggnuts,https://www.imdb.com/review/rw6319459/?ref_=tt_urv,2020-11-28,1.0,Inception no longer Nolan's dumbest movie.,2020,42,"{'neg': 0.579, 'neu': 0.421, 'pos': 0.0, 'compound': -0.6705}",-0.6705,negative
56,jboothmillard,https://www.imdb.com/review/rw6046697/?ref_=tt_urv,2020-08-30,4.0,Tenet,2020,5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
57,ianclarke,https://www.imdb.com/review/rw7281985/?ref_=tt_urv,2021-08-28,2.0,So annoying !,2021,13,"{'neg': 0.767, 'neu': 0.233, 'pos': 0.0, 'compound': -0.5081}",-0.5081,negative
58,dude,https://www.imdb.com/review/rw6350209/?ref_=tt_urv,2020-12-09,1.0,Some messy ideas shouldn't become films,2020,39,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
59,johnalexander,https://www.imdb.com/review/rw6324831/?ref_=tt_urv,2020-11-30,3.0,Extremely Disappointed,2020,22,"{'neg': 0.772, 'neu': 0.228, 'pos': 0.0, 'compound': -0.5256}",-0.5256,negative
60,Xstal,https://www.imdb.com/review/rw6057018/?ref_=tt_urv,2020-09-02,7.0,Irreversibly Palindromic...,2020,27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
61,dyingrepublicofpanama,https://www.imdb.com/review/rw6045099/?ref_=tt_urv,2020-08-30,6.0,Typical Nolan,2020,13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
62,sethklee,https://www.imdb.com/review/rw6087392/?ref_=tt_urv,2020-09-12,8.0,"An Intriguing, Creative Spy Thriller",2020,36,"{'neg': 0.0, 'neu': 0.411, 'pos': 0.589, 'compound': 0.5106}",0.5106,positive
63,thebricks,https://www.imdb.com/review/rw6162197/?ref_=tt_urv,2020-10-10,1.0,Christopher Nolan needs to end the pseudointellectual act,2020,57,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
64,guenterfmang,https://www.imdb.com/review/rw8134414/?ref_=tt_urv,2022-05-11,5.0,Complexity killed the movie,2022,27,"{'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.6705}",-0.6705,negative
65,godgirlprincess,https://www.imdb.com/review/rw6090271/?ref_=tt_urv,2020-09-13,9.0,I Loved It!,2020,11,"{'neg': 0.0, 'neu': 0.193, 'pos': 0.807, 'compound': 0.636}",0.636,positive
66,nataliakhilkevitch,https://www.imdb.com/review/rw6049118/?ref_=tt_urv,2020-08-31,1.0,Overcomplicated to disguise pure nonsence,2020,41,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}",-0.25,negative
67,s,https://www.imdb.com/review/rw6320510/?ref_=tt_urv,2020-11-29,3.0,"Shame they can't ""invert"" the script.....",2020,41,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
68,Phil_M_A_Kerr,https://www.imdb.com/review/rw6017449/?ref_=tt_urv,2020-08-22,8.0,.enoz trofmoc laropmet ruoy fo tuo uoy sehsuP,2020,45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
69,keitha,https://www.imdb.com/review/rw6316842/?ref_=tt_urv,2020-11-28,1.0,The director and producer must have been on LSD And stoned for the making and completion of this movie,2020,102,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
70,vittorio,https://www.imdb.com/review/rw6117264/?ref_=tt_urv,2020-09-23,7.0,Interesting but at times very confusing,2020,39,"{'neg': 0.323, 'neu': 0.463, 'pos': 0.214, 'compound': -0.2357}",-0.2357,negative
71,next,https://www.imdb.com/review/rw6036746/?ref_=tt_urv,2020-08-28,6.0,Two and a half hours of noise,2020,29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
72,BenjaminMWeilert,https://www.imdb.com/review/rw6087104/?ref_=tt_urv,2020-09-12,8.0,"Visually stunning, but mind-numbingly complex.",2020,46,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.2023}",0.2023,positive
73,Radios_MrMovieMadAmi_FM,https://www.imdb.com/review/rw6056451/?ref_=tt_urv,2020-09-02,8.0,"SUPERB , Stupendous 💥💥💥 . Having Said That ..I'd Hoped for MORE from my hero CHRIS NOLAN 🌠 ; or perhaps.. "" LESS❓❗"" ...now I'm not quite sure... { ~ WHICH 😶😶😶 ~ } .",2020,164,"{'neg': 0.0, 'neu': 0.648, 'pos': 0.352, 'compound': 0.9179}",0.9179,positive
74,Christopher_Reid,https://www.imdb.com/review/rw6019103/?ref_=tt_urv,2020-08-23,10.0,"Intense, thought-provoking, time-bending thriller",2020,49,"{'neg': 0.0, 'neu': 0.426, 'pos': 0.574, 'compound': 0.1779}",0.1779,positive
75,MamadNobari,https://www.imdb.com/review/rw6322190/?ref_=tt_urv,2020-11-29,6.0,What TF Is Happening?,2020,21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
76,gtbarker,https://www.imdb.com/review/rw7594197/?ref_=tt_urv,2021-11-28,6.0,Noise!,2021,6,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
77,xiaohei,https://www.imdb.com/review/rw6046048/?ref_=tt_urv,2020-08-30,1.0,"Thanks, I have a good sleep in theatre",2020,38,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.7003}",0.7003,positive
78,magguilmot,https://www.imdb.com/review/rw8046427/?ref_=tt_urv,2022-04-09,4.0,Nolan out of his mind. Pretty with action and effects.,2022,54,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}",0.4939,positive
79,omeralaa,https://www.imdb.com/review/rw6040162/?ref_=tt_urv,2020-08-29,9.0,An absolute masterpiece!,2020,24,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.6588}",0.6588,positive
80,cardsrock,https://www.imdb.com/review/rw6052041/?ref_=tt_urv,2020-09-01,9.0,Nolan is the undisputed king of high-concept blockbusters,2020,57,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
81,thorpej,https://www.imdb.com/review/rw6045094/?ref_=tt_urv,2020-08-30,1.0,Overly confusing for the sake of it (spoiler free),2020,50,"{'neg': 0.192, 'neu': 0.808, 'pos': 0.0, 'compound': -0.2263}",-0.2263,negative
82,catdogmanfish,https://www.imdb.com/review/rw7010299/?ref_=tt_urv,2021-06-08,1.0,Terrible,2021,8,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
83,Keemshave,https://www.imdb.com/review/rw6071939/?ref_=tt_urv,2020-09-07,9.0,An extremely challenging film.,2020,30,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.2247}",0.2247,positive
84,birkby,https://www.imdb.com/review/rw6321721/?ref_=tt_urv,2020-11-29,1.0,Incomprehensible,2020,16,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
85,levybob,https://www.imdb.com/review/rw6137843/?ref_=tt_urv,2020-09-30,1.0,I'm not Stupid. Really I'm not.,2020,31,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.4168}",0.4168,positive
86,Mustang,https://www.imdb.com/review/rw6898343/?ref_=tt_urv,2021-05-09,1.0,Dumbest Movie of the Year,2021,25,"{'neg': 0.452, 'neu': 0.548, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
87,atlasmb,https://www.imdb.com/review/rw6089095/?ref_=tt_urv,2020-09-12,6.0,A Disappointment,2020,16,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
88,markijohnny,https://www.imdb.com/review/rw6145512/?ref_=tt_urv,2020-10-03,7.0,It's ok,2020,7,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.296}",0.296,positive
89,lenkej,https://www.imdb.com/review/rw6054902/?ref_=tt_urv,2020-09-02,1.0,"Just wow, in a bad way",2020,22,"{'neg': 0.34, 'neu': 0.291, 'pos': 0.369, 'compound': 0.0772}",0.0772,positive
90,gavinp,https://www.imdb.com/review/rw6019092/?ref_=tt_urv,2020-08-23,8.0,Another masterpiece from the best director going round,2020,54,"{'neg': 0.0, 'neu': 0.42, 'pos': 0.58, 'compound': 0.8519}",0.8519,positive
91,vad,https://www.imdb.com/review/rw7663709/?ref_=tt_urv,2021-12-20,5.0,Can't even finish watching it,2021,29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
92,garabedian,https://www.imdb.com/review/rw6877588/?ref_=tt_urv,2021-05-03,1.0,How could you get past the intro?,2021,33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
93,SnobReviews,https://www.imdb.com/review/rw6033966/?ref_=tt_urv,2020-08-28,9.0,A masterful trick on the mind.,2020,30,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.0516}",-0.0516,negative
94,idearz,https://www.imdb.com/review/rw7714187/?ref_=tt_urv,2022-01-02,1.0,A mother's love will kill us all,2022,32,"{'neg': 0.364, 'neu': 0.31, 'pos': 0.326, 'compound': -0.128}",-0.128,negative
95,dikeroc,https://www.imdb.com/review/rw6029565/?ref_=tt_urv,2020-08-26,3.0,Easily the worst Nolan film,2020,27,"{'neg': 0.432, 'neu': 0.316, 'pos': 0.253, 'compound': -0.4019}",-0.4019,negative
96,latinfineart,https://www.imdb.com/review/rw6702878/?ref_=tt_urv,2021-03-17,3.0,An utter mess. Totally incoherent,2021,33,"{'neg': 0.385, 'neu': 0.615, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
97,SwalesFilm,https://www.imdb.com/review/rw6054176/?ref_=tt_urv,2020-09-01,2.0,Don't forget your ear defenders,2020,31,"{'neg': 0.0, 'neu': 0.503, 'pos': 0.497, 'compound': 0.242}",0.242,positive
98,dilloncamp,https://www.imdb.com/review/rw6598758/?ref_=tt_urv,2021-02-15,6.0,6stars only cause it's Nolan.,2021,29,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
99,curzon_dax,https://www.imdb.com/review/rw6343465/?ref_=tt_urv,2020-12-06,6.0,The script is dumb.,2020,19,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negative
100,radhrh,https://www.imdb.com/review/rw6088303/?ref_=tt_urv,2020-09-12,7.0,OK but drags on a bit.,2020,22,"{'neg': 0.292, 'neu': 0.428, 'pos': 0.28, 'compound': -0.0216}",-0.0216,negative
101,nileshc,https://www.imdb.com/review/rw6028706/?ref_=tt_urv,2020-08-26,6.0,Audio needs fixing,2020,18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
102,seanfitz,https://www.imdb.com/review/rw6025320/?ref_=tt_urv,2020-08-25,10.0,It's seems to be underrated by other critics,2020,44,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
103,cricketbat,https://www.imdb.com/review/rw6057010/?ref_=tt_urv,2020-09-02,6.0,Future me likes this movie. Present me isn't sure yet.,2020,54,"{'neg': 0.154, 'neu': 0.627, 'pos': 0.219, 'compound': 0.2115}",0.2115,positive
104,alex_cohen,https://www.imdb.com/review/rw6330729/?ref_=tt_urv,2020-12-02,1.0,Cliched and disapointing...,2020,27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
105,michaelgernert,https://www.imdb.com/review/rw6033978/?ref_=tt_urv,2020-08-28,10.0,Incredible concept,2020,18,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
106,AnotherRandomReviewer,https://www.imdb.com/review/rw7205098/?ref_=tt_urv,2021-08-07,3.0,Just because it's complex doesn't mean it's a masterpiece.,2021,58,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5096}",-0.5096,negative
107,Eli_Elvis,https://www.imdb.com/review/rw6321354/?ref_=tt_urv,2020-11-29,1.0,Terrible,2020,8,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
108,e_s_reyne,https://www.imdb.com/review/rw6146464/?ref_=tt_urv,2020-10-04,2.0,People are calling this a masterpiece!?,2020,39,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
109,anthonycohen,https://www.imdb.com/review/rw7239575/?ref_=tt_urv,2021-08-17,2.0,Sorry Chris....,2021,15,"{'neg': 0.565, 'neu': 0.435, 'pos': 0.0, 'compound': -0.0772}",-0.0772,negative
110,williamkelly,https://www.imdb.com/review/rw6359203/?ref_=tt_urv,2020-12-12,1.0,boring,2020,6,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
111,ross,https://www.imdb.com/review/rw6263762/?ref_=tt_urv,2020-11-13,5.0,Confusing and soooooo long,2020,26,"{'neg': 0.388, 'neu': 0.612, 'pos': 0.0, 'compound': -0.2263}",-0.2263,negative
112,vsppn,https://www.imdb.com/review/rw7274669/?ref_=tt_urv,2021-08-27,1.0,Chaotic,2021,7,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4939}",-0.4939,negative
113,giongalini,https://www.imdb.com/review/rw6070435/?ref_=tt_urv,2020-09-06,1.0,Meh,2020,3,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0772}",-0.0772,negative
114,JamesRutland,https://www.imdb.com/review/rw7242437/?ref_=tt_urv,2021-08-18,1.0,"A movie which pretends to be smart but it is far stupid because (""you want to be fooled"").",2021,90,"{'neg': 0.262, 'neu': 0.588, 'pos': 0.149, 'compound': -0.5423}",-0.5423,negative
