,author,url,date,rating,review
57,diggnuts,https://www.imdb.com/review/rw6319459/?ref_=tt_urv,28 November 2020,1,Inception no longer Nolan's dumbest movie.
58,jboothmillard,https://www.imdb.com/review/rw6046697/?ref_=tt_urv,30 August 2020,4,Tenet
59,ianclarke340,https://www.imdb.com/review/rw7281985/?ref_=tt_urv,28 August 2021,2,So annoying !
60,dude2010,https://www.imdb.com/review/rw6350209/?ref_=tt_urv,9 December 2020,1,Some messy ideas shouldn't become films
61,john-alexander-82,https://www.imdb.com/review/rw6324831/?ref_=tt_urv,30 November 2020,3,Extremely Disappointed
62,Xstal,https://www.imdb.com/review/rw6057018/?ref_=tt_urv,2 September 2020,7,Irreversibly Palindromic...
63,dyingrepublicofpanama,https://www.imdb.com/review/rw6045099/?ref_=tt_urv,30 August 2020,6,Typical Nolan
64,sethklee-77687,https://www.imdb.com/review/rw6087392/?ref_=tt_urv,12 September 2020,8,"An Intriguing, Creative Spy Thriller"
65,thebricks,https://www.imdb.com/review/rw6162197/?ref_=tt_urv,10 October 2020,1,Christopher Nolan needs to end the pseudointellectual act
66,guenterfmang,https://www.imdb.com/review/rw8134414/?ref_=tt_urv,11 May 2022,5,Complexity killed the movie
67,godgirlprincess,https://www.imdb.com/review/rw6090271/?ref_=tt_urv,13 September 2020,9,I Loved It!
68,natalia-khilkevitch,https://www.imdb.com/review/rw6049118/?ref_=tt_urv,31 August 2020,1,Overcomplicated to disguise pure nonsence
69,s3276169,https://www.imdb.com/review/rw6320510/?ref_=tt_urv,29 November 2020,3,"Shame they can't ""invert"" the script....."
70,Phil_M_A_Kerr,https://www.imdb.com/review/rw6017449/?ref_=tt_urv,22 August 2020,8,.enoz trofmoc laropmet ruoy fo tuo uoy sehsuP
71,keitha-06649,https://www.imdb.com/review/rw6316842/?ref_=tt_urv,28 November 2020,1,The director and producer must have been on LSD And stoned for the making and completion of this movie
72,vittorio-13,https://www.imdb.com/review/rw6117264/?ref_=tt_urv,23 September 2020,7,Interesting but at times very confusing
73,next-33446,https://www.imdb.com/review/rw6036746/?ref_=tt_urv,28 August 2020,6,Two and a half hours of noise
74,Benjamin-M-Weilert,https://www.imdb.com/review/rw6087104/?ref_=tt_urv,12 September 2020,8,"Visually stunning, but mind-numbingly complex."
75,Radio-1s_Mr-MovieMad-Ami_104-1FM,https://www.imdb.com/review/rw6056451/?ref_=tt_urv,2 September 2020,8,"SUPERB , Stupendous 💥💥💥 . Having Said That ..I'd Hoped for MORE from my hero CHRIS NOLAN 🌠 ; or perhaps.. "" LESS❓❗"" ...now I'm not quite sure... { ~ WHICH 😶😶😶 ~ } ."
76,Christopher_Reid,https://www.imdb.com/review/rw6019103/?ref_=tt_urv,23 August 2020,10,"Intense, thought-provoking, time-bending thriller"
77,MamadNobari97,https://www.imdb.com/review/rw6322190/?ref_=tt_urv,29 November 2020,6,What TF Is Happening?
78,gtbarker,https://www.imdb.com/review/rw7594197/?ref_=tt_urv,28 November 2021,6,Noise!
79,xiaohei-80112,https://www.imdb.com/review/rw6046048/?ref_=tt_urv,30 August 2020,1,"Thanks, I have a good sleep in theatre"
80,magguilmot,https://www.imdb.com/review/rw8046427/?ref_=tt_urv,9 April 2022,4,Nolan out of his mind. Pretty with action and effects.
81,omeralaa,https://www.imdb.com/review/rw6040162/?ref_=tt_urv,29 August 2020,9,An absolute masterpiece!
82,cardsrock,https://www.imdb.com/review/rw6052041/?ref_=tt_urv,1 September 2020,9,Nolan is the undisputed king of high-concept blockbusters
83,thorpej-14458,https://www.imdb.com/review/rw6045094/?ref_=tt_urv,30 August 2020,1,Overly confusing for the sake of it (spoiler free)
84,catdogmanfish,https://www.imdb.com/review/rw7010299/?ref_=tt_urv,8 June 2021,1,Terrible
85,Keemshave,https://www.imdb.com/review/rw6071939/?ref_=tt_urv,7 September 2020,9,An extremely challenging film.
86,birkby-70423,https://www.imdb.com/review/rw6321721/?ref_=tt_urv,29 November 2020,1,Incomprehensible
87,levybob,https://www.imdb.com/review/rw6137843/?ref_=tt_urv,30 September 2020,1,I'm not Stupid. Really I'm not.
88,Mustang92,https://www.imdb.com/review/rw6898343/?ref_=tt_urv,9 May 2021,1,Dumbest Movie of the Year
89,CinemaClown,https://www.imdb.com/review/rw6344320/?ref_=tt_urv,6 December 2020,,Christopher Nolan Finally Bites Off More Than He Can Chew
90,atlasmb,https://www.imdb.com/review/rw6089095/?ref_=tt_urv,12 September 2020,6,A Disappointment
91,markijohnny,https://www.imdb.com/review/rw6145512/?ref_=tt_urv,3 October 2020,7,It's ok
92,lenkej-12285,https://www.imdb.com/review/rw6054902/?ref_=tt_urv,2 September 2020,1,"Just wow, in a bad way"
93,gavinp9,https://www.imdb.com/review/rw6019092/?ref_=tt_urv,23 August 2020,8,Another masterpiece from the best director going round
94,vad19894,https://www.imdb.com/review/rw7663709/?ref_=tt_urv,20 December 2021,5,Can't even finish watching it
95,garabedian123,https://www.imdb.com/review/rw6877588/?ref_=tt_urv,3 May 2021,1,How could you get past the intro?
96,SnobReviews,https://www.imdb.com/review/rw6033966/?ref_=tt_urv,28 August 2020,9,A masterful trick on the mind.
97,idearz-429-638175,https://www.imdb.com/review/rw7714187/?ref_=tt_urv,2 January 2022,1,A mother's love will kill us all
98,dikeroc,https://www.imdb.com/review/rw6029565/?ref_=tt_urv,26 August 2020,3,Easily the worst Nolan film
99,latinfineart,https://www.imdb.com/review/rw6702878/?ref_=tt_urv,17 March 2021,3,An utter mess. Totally incoherent
100,SwalesFilm,https://www.imdb.com/review/rw6054176/?ref_=tt_urv,1 September 2020,2,Don't forget your ear defenders
101,dilloncamp,https://www.imdb.com/review/rw6598758/?ref_=tt_urv,15 February 2021,6,6stars only cause it's Nolan.
102,curzon_dax,https://www.imdb.com/review/rw6343465/?ref_=tt_urv,6 December 2020,6,The script is dumb.
103,radhrh,https://www.imdb.com/review/rw6088303/?ref_=tt_urv,12 September 2020,7,OK but drags on a bit.
104,nileshc-59537,https://www.imdb.com/review/rw6028706/?ref_=tt_urv,26 August 2020,6,Audio needs fixing
105,seanfitz-51998,https://www.imdb.com/review/rw6025320/?ref_=tt_urv,25 August 2020,10,It's seems to be underrated by other critics
106,cricketbat,https://www.imdb.com/review/rw6057010/?ref_=tt_urv,2 September 2020,6,Future me likes this movie. Present me isn't sure yet.
107,alex_cohen,https://www.imdb.com/review/rw6330729/?ref_=tt_urv,2 December 2020,1,Cliched and disapointing...
108,michael-gernert,https://www.imdb.com/review/rw6033978/?ref_=tt_urv,28 August 2020,10,Incredible concept
109,AnotherRandomReviewer,https://www.imdb.com/review/rw7205098/?ref_=tt_urv,7 August 2021,3,Just because it's complex doesn't mean it's a masterpiece.
110,Eli_Elvis,https://www.imdb.com/review/rw6321354/?ref_=tt_urv,29 November 2020,1,Terrible
111,e_s_reyne,https://www.imdb.com/review/rw6146464/?ref_=tt_urv,4 October 2020,2,People are calling this a masterpiece!?
112,anthonycohen-60451,https://www.imdb.com/review/rw7239575/?ref_=tt_urv,17 August 2021,2,Sorry Chris....
113,williamkelly-12810,https://www.imdb.com/review/rw6359203/?ref_=tt_urv,12 December 2020,1,boring
114,ross-547-585754,https://www.imdb.com/review/rw6263762/?ref_=tt_urv,13 November 2020,5,Confusing and soooooo long
115,vsppn,https://www.imdb.com/review/rw7274669/?ref_=tt_urv,27 August 2021,1,Chaotic
116,giongalini,https://www.imdb.com/review/rw6070435/?ref_=tt_urv,6 September 2020,1,Meh
117,JamesRutland,https://www.imdb.com/review/rw7242437/?ref_=tt_urv,18 August 2021,1,"A movie which pretends to be smart but it is far stupid because (""you want to be fooled"")."
118,jenkinscammy,https://www.imdb.com/review/rw7158370/?ref_=tt_urv,24 July 2021,6,Pretentious but interesting
119,djalarkin,https://www.imdb.com/review/rw6330697/?ref_=tt_urv,2 December 2020,1,Massively overrated.
120,grantss,https://www.imdb.com/review/rw6038125/?ref_=tt_urv,29 August 2020,6,James Bond with time travel
121,FabledGentleman,https://www.imdb.com/review/rw6041256/?ref_=tt_urv,29 August 2020,8,Quite spectacular
122,starwarsromania,https://www.imdb.com/review/rw6018687/?ref_=tt_urv,22 August 2020,9,The Embonpoint Of Christopher Nolan's mind.
123,andy_c_les,https://www.imdb.com/review/rw6089254/?ref_=tt_urv,12 September 2020,1,Terrible boring nonsense
124,Lomax343,https://www.imdb.com/review/rw6147287/?ref_=tt_urv,4 October 2020,8,Watch out for the Dangly Bit
125,jerrynick30,https://www.imdb.com/review/rw6274214/?ref_=tt_urv,15 November 2020,1,So bad it hurts
126,nicostudios,https://www.imdb.com/review/rw6062759/?ref_=tt_urv,4 September 2020,9,You won't get it the first time.
127,jcullen_s,https://www.imdb.com/review/rw6033960/?ref_=tt_urv,28 August 2020,9,Tenet
128,Samual-M,https://www.imdb.com/review/rw6057930/?ref_=tt_urv,3 September 2020,10,10/10
129,paradoxn1,https://www.imdb.com/review/rw6017616/?ref_=tt_urv,22 August 2020,10,Definitely the best movie of the year
130,bluepink,https://www.imdb.com/review/rw6042541/?ref_=tt_urv,29 August 2020,1,Disappointing
131,thmay-84650,https://www.imdb.com/review/rw6017881/?ref_=tt_urv,22 August 2020,10,"Christopher Nolan's Grandly Entertaining, Time Slipping Spectacle Is a Futuristic Throwback"
132,Amyth47,https://www.imdb.com/review/rw6093813/?ref_=tt_urv,14 September 2020,9,"'Feel it, don't try to understand it' - it's the only way."
133,datkaa,https://www.imdb.com/review/rw6038980/?ref_=tt_urv,29 August 2020,4,Music was too loud
134,darenbooth,https://www.imdb.com/review/rw6058808/?ref_=tt_urv,3 September 2020,10,"Extraordinary, cinematography and music outstanding"
135,broadley-658-659134,https://www.imdb.com/review/rw6043102/?ref_=tt_urv,29 August 2020,3,Confusing and hollow
136,garethdavies-96903,https://www.imdb.com/review/rw7302650/?ref_=tt_urv,3 September 2021,4,Too clever for its own good.
137,RosanaBotafogo,https://www.imdb.com/review/rw6622416/?ref_=tt_urv,21 February 2021,6,Regular and uninteresting...
138,radmehr_radi,https://www.imdb.com/review/rw6033381/?ref_=tt_urv,28 August 2020,9,Don't try to understand it feel it!
139,haydenluz,https://www.imdb.com/review/rw6087293/?ref_=tt_urv,12 September 2020,9,Tenet
140,glyn-25860,https://www.imdb.com/review/rw6017876/?ref_=tt_urv,22 August 2020,10,Sci-Fi Bending Brilliance
141,ukproject,https://www.imdb.com/review/rw7510925/?ref_=tt_urv,5 November 2021,3,Memento will always be one of my favourite mind bending movies....
142,carlos-pires,https://www.imdb.com/review/rw6396272/?ref_=tt_urv,24 December 2020,1,"No wonder the movie's official tagline is ""Time runs out""."
143,doomedmac,https://www.imdb.com/review/rw6101395/?ref_=tt_urv,17 September 2020,7,It's good
144,RJBrez,https://www.imdb.com/review/rw6168328/?ref_=tt_urv,12 October 2020,10,Nolan does it again
145,dr_mosa,https://www.imdb.com/review/rw7285402/?ref_=tt_urv,29 August 2021,2,Way too complicated and annoying
146,Dirk-D-Brack,https://www.imdb.com/review/rw6388653/?ref_=tt_urv,22 December 2020,1,"Not my cup of tea.Waste of 2,5 hours"
147,robert-wood-1,https://www.imdb.com/review/rw7276510/?ref_=tt_urv,27 August 2021,1,Pseudo intellectual Red Dwarf meets Dr Who
148,golem-sense,https://www.imdb.com/review/rw7188286/?ref_=tt_urv,2 August 2021,2,this is the end of nolan's career???
149,OnlyAtJMart,https://www.imdb.com/review/rw6070362/?ref_=tt_urv,6 September 2020,,I love Nolan but I hate to say that there is too much you can try to accomplish in one movie.
150,Zivex,https://www.imdb.com/review/rw6338414/?ref_=tt_urv,5 December 2020,1,"Millions of $ to make a ""Sci-fi"" movie in the cheapest way possible"
151,neilebasford,https://www.imdb.com/review/rw6054452/?ref_=tt_urv,2 September 2020,1,Absolute non-sense
152,rubenm,https://www.imdb.com/review/rw6036315/?ref_=tt_urv,28 August 2020,3,There is so much wrong with this movie
153,klchu,https://www.imdb.com/review/rw6743351/?ref_=tt_urv,26 March 2021,4,Doesn't follow its own rules
154,fluffchop,https://www.imdb.com/review/rw7581420/?ref_=tt_urv,25 November 2021,1,Unrealistic crap
155,martinrobertson300482,https://www.imdb.com/review/rw6053387/?ref_=tt_urv,1 September 2020,4,Disappointing
156,MogwaiMovieReviews,https://www.imdb.com/review/rw6334108/?ref_=tt_urv,3 December 2020,5,Tenable
157,bedub-75924,https://www.imdb.com/review/rw6422105/?ref_=tt_urv,30 December 2020,3,Audio mixing is terrible
158,chubarova,https://www.imdb.com/review/rw6166608/?ref_=tt_urv,11 October 2020,10,Mind-blowing
159,SAR2019,https://www.imdb.com/review/rw7698430/?ref_=tt_urv,28 December 2021,,The viewer has no way to win with this one.
160,jay-84250,https://www.imdb.com/review/rw6036514/?ref_=tt_urv,28 August 2020,9,Phenomenal movie
161,kluseba,https://www.imdb.com/review/rw6050268/?ref_=tt_urv,31 August 2020,7,Intellectually challenging but emotionally underwhelming
162,a_lowther,https://www.imdb.com/review/rw6317050/?ref_=tt_urv,28 November 2020,5,2020 was a good year for this to come out
163,NotMoreMovies,https://www.imdb.com/review/rw7381547/?ref_=tt_urv,26 September 2021,3,"Ouch, my head!"
164,Nostromo21,https://www.imdb.com/review/rw6317655/?ref_=tt_urv,28 November 2020,6,Pretentious in an untimely manner...?
165,service-53518,https://www.imdb.com/review/rw6362687/?ref_=tt_urv,13 December 2020,1,Pretentious and Boring.
166,dududunne,https://www.imdb.com/review/rw6037509/?ref_=tt_urv,29 August 2020,3,Crapola
167,benware-84242,https://www.imdb.com/review/rw7281960/?ref_=tt_urv,28 August 2021,3,I wanted to like it.
168,repojack,https://www.imdb.com/review/rw6159328/?ref_=tt_urv,9 October 2020,6,Hoo boy ...
169,gigitville,https://www.imdb.com/review/rw6103324/?ref_=tt_urv,17 September 2020,7,Not as Good as it Could Be
170,ue-53660,https://www.imdb.com/review/rw6044124/?ref_=tt_urv,30 August 2020,1,Overly Complicated and a Bit Boring
171,martimusross,https://www.imdb.com/review/rw6045422/?ref_=tt_urv,30 August 2020,3,"Over-Rated Bore, Skip it And Stay in Lockdown!"
172,wafflepenguin,https://www.imdb.com/review/rw6018851/?ref_=tt_urv,22 August 2020,8,Amazing
173,sadako11,https://www.imdb.com/review/rw6044857/?ref_=tt_urv,30 August 2020,5,"Compared to the show Dark, Tenet is like kindergarten."
174,hfreinoso,https://www.imdb.com/review/rw6088540/?ref_=tt_urv,12 September 2020,9,You really need to watch this again
175,stefanozucchelli,https://www.imdb.com/review/rw7536507/?ref_=tt_urv,11 November 2021,6,A big headache
176,marveller-66,https://www.imdb.com/review/rw6332785/?ref_=tt_urv,3 December 2020,9,Last time there was no 'tenet'!
177,benmundie,https://www.imdb.com/review/rw6075122/?ref_=tt_urv,8 September 2020,8,Very Interesting Despite the Confusion
178,StevePunchard,https://www.imdb.com/review/rw7392503/?ref_=tt_urv,29 September 2021,5,Not impressed and very confusing
179,cordellm1,https://www.imdb.com/review/rw7205516/?ref_=tt_urv,7 August 2021,3,Was very disappointed when I first saw it - still don't like it
180,abisio,https://www.imdb.com/review/rw6057261/?ref_=tt_urv,3 September 2020,4,Another shallow hot air balloon from Nolan; see with subtitles or you will be lost
181,bmfer-1,https://www.imdb.com/review/rw6320977/?ref_=tt_urv,29 November 2020,1,Is this a joke? A spoof? Its laughable.
182,RobM123,https://www.imdb.com/review/rw6065544/?ref_=tt_urv,5 September 2020,6,Complexity above entertainment?
183,johnharapa,https://www.imdb.com/review/rw6069228/?ref_=tt_urv,6 September 2020,2,Thoroughly Disappointing
184,alexandermangoldt,https://www.imdb.com/review/rw6047493/?ref_=tt_urv,30 August 2020,1,It's a ludicrous mess.
185,philfeeley,https://www.imdb.com/review/rw6339931/?ref_=tt_urv,5 December 2020,6,Too many incomprehensibilities
186,nicorip22,https://www.imdb.com/review/rw6703589/?ref_=tt_urv,17 March 2021,4,Boring movie
187,marturanodavid,https://www.imdb.com/review/rw6033492/?ref_=tt_urv,28 August 2020,1,The sound mixing makes the movie unbearable
188,sanimanny,https://www.imdb.com/review/rw6049677/?ref_=tt_urv,31 August 2020,1,Easily one of the worst movies I've ever seen
189,emmanuellebarone,https://www.imdb.com/review/rw6019743/?ref_=tt_urv,23 August 2020,9,Phenomenal!
190,jithinr-83154,https://www.imdb.com/review/rw7506794/?ref_=tt_urv,3 November 2021,2,A Disastrous Masterpiece
191,dan_tench,https://www.imdb.com/review/rw7884701/?ref_=tt_urv,20 February 2022,5,"Love Nolan, don't love this."
192,adamclark-01767,https://www.imdb.com/review/rw6044454/?ref_=tt_urv,30 August 2020,2,I debated just leaving
193,jmforsyth-33291,https://www.imdb.com/review/rw6031553/?ref_=tt_urv,27 August 2020,9,It's a Christopher Nolan Film
194,drunken_munki,https://www.imdb.com/review/rw6322362/?ref_=tt_urv,29 November 2020,3,This is definitely Nolan's worst film
195,amadeusmaes,https://www.imdb.com/review/rw6065026/?ref_=tt_urv,5 September 2020,1,Nonsensical and infuriating
196,EpicReviewer1,https://www.imdb.com/review/rw6073517/?ref_=tt_urv,7 September 2020,10,Just pure genius. This movie is just oustanding
197,niyantha,https://www.imdb.com/review/rw6122311/?ref_=tt_urv,25 September 2020,7,Most challenging Nolan Film
198,hoernkeem,https://www.imdb.com/review/rw6655700/?ref_=tt_urv,3 March 2021,6,"Tenet (2020, Christopher Nolan) Nolan's latest outing too clever for its own good... becomes mired in its own physics"
199,Schuriken,https://www.imdb.com/review/rw6112420/?ref_=tt_urv,21 September 2020,1,Boring & Confusing
200,hansbeimsap,https://www.imdb.com/review/rw8068231/?ref_=tt_urv,17 April 2022,3,28 minutes later...
201,derek-a-charette100,https://www.imdb.com/review/rw7791449/?ref_=tt_urv,23 January 2022,1,Surprising... surprisingly TERRIBLE.
202,Luce1417,https://www.imdb.com/review/rw7231462/?ref_=tt_urv,15 August 2021,1,"The sound is awful, plot is bland."
203,lukem-52760,https://www.imdb.com/review/rw6390354/?ref_=tt_urv,22 December 2020,1,HORRENDOUS OVER THE TOP CRAP LIKE INCEPTION
204,jtindahouse,https://www.imdb.com/review/rw6018639/?ref_=tt_urv,22 August 2020,8,An amazing film that you will require your brain to be working at full capacity
205,cameronjames-86959,https://www.imdb.com/review/rw6092158/?ref_=tt_urv,13 September 2020,10,Another fantastic movie by the master himself nolan
206,namie-98193,https://www.imdb.com/review/rw6097300/?ref_=tt_urv,15 September 2020,10,Finally a good movie
207,littleging12,https://www.imdb.com/review/rw6120214/?ref_=tt_urv,24 September 2020,9,Another Nolan Masterpiece
208,spmact,https://www.imdb.com/review/rw6043147/?ref_=tt_urv,29 August 2020,6,You shouldn't have to see a movie twice to enjoy it
209,mister_bateman,https://www.imdb.com/review/rw6343383/?ref_=tt_urv,6 December 2020,1,A wannabe Bond film with a stupid story and Diversity™
210,dovla-79048,https://www.imdb.com/review/rw6322456/?ref_=tt_urv,29 November 2020,1,It seems that this 2020 is full of poor movies...
211,gtenalokes,https://www.imdb.com/review/rw6321671/?ref_=tt_urv,29 November 2020,6,2 hours & 30 minutes later I'm still confused
212,bdpbib,https://www.imdb.com/review/rw7863933/?ref_=tt_urv,13 February 2022,5,Intractable
213,rickraftus,https://www.imdb.com/review/rw6374338/?ref_=tt_urv,17 December 2020,1,Terrible movie not worth wasting your time on
214,isaacsundaralingam,https://www.imdb.com/review/rw6736014/?ref_=tt_urv,24 March 2021,7,It's the concept that lands
215,johncranberry-67292,https://www.imdb.com/review/rw6030815/?ref_=tt_urv,27 August 2020,1,Why play dramatic music over every scene?
216,pete-murphy97,https://www.imdb.com/review/rw6058944/?ref_=tt_urv,3 September 2020,8,A cryptic watch that reveals itself with time
217,coljam21,https://www.imdb.com/review/rw6173631/?ref_=tt_urv,14 October 2020,10,Kept me on the edge of my seat!
218,jack-oday,https://www.imdb.com/review/rw7224386/?ref_=tt_urv,13 August 2021,3,Underwhelming
219,mikeferguson,https://www.imdb.com/review/rw6878317/?ref_=tt_urv,4 May 2021,7,7 stars for the half I understood...
220,Maelific71,https://www.imdb.com/review/rw6889108/?ref_=tt_urv,7 May 2021,4,Inverted
221,creator301,https://www.imdb.com/review/rw6051844/?ref_=tt_urv,1 September 2020,1,Straight up insulting.
222,allentyson-89230,https://www.imdb.com/review/rw6054582/?ref_=tt_urv,2 September 2020,9,Wow.
